byte_index,start,stop,mean,abs_mean,energy,ptp,value,hw,bit_0,bit_1,bit_2,bit_3,bit_4,bit_5,bit_6,bit_7
0,0,93,0.022395570862597677,0.0546321090040428,0.3587994895535829,0.23188476264476776,236,5,0,0,1,1,0,1,1,1
1,93,187,-0.0005906128294845211,0.05467087789834972,0.39514128339573773,0.23823242634534836,146,3,0,1,0,0,1,0,0,1
2,187,281,-0.008705171849330926,0.056994109554463955,0.43830967333338694,0.23422851413488388,220,5,0,0,1,1,1,0,1,1
3,281,375,0.006483751546066413,0.060907372292081645,0.46230008399375744,0.2373046949505806,206,5,0,1,1,1,0,0,1,1
4,375,468,0.01358498182064498,0.054578030579103785,0.35926475359432813,0.21335449814796448,39,4,1,1,1,0,0,1,0,0
5,468,562,0.007316686718308545,0.049526522798027765,0.34059432853110605,0.23771972954273224,117,5,1,0,1,0,1,1,1,0
6,562,656,-0.0003501077460006196,0.05746343053203631,0.44234869436828406,0.23869629204273224,24,2,0,0,0,1,1,0,0,0
7,656,750,-0.0025439972028215513,0.05688762241241304,0.43737953440926536,0.23630370199680328,53,4,1,0,1,0,1,1,0,0
8,750,843,-0.0011296097830098162,0.05769725515437062,0.44079308695434094,0.23798827826976776,125,6,1,0,1,1,1,1,1,0
9,843,937,0.014046137780941863,0.05228738983637316,0.3464092321592946,0.2352294847369194,26,3,0,1,0,1,1,0,0,0
10,937,1031,0.002474131691764961,0.0586560839995187,0.44705679743631693,0.23615722358226776,83,4,1,1,0,0,1,0,1,0
11,1031,1125,0.002119088540487784,0.05679464142551606,0.43236402965588705,0.236328125,44,3,0,0,1,1,0,1,0,0
12,1125,1218,-0.0025088731299645157,0.05767100315380801,0.44114522948878415,0.23686522990465164,226,4,0,1,0,0,0,1,1,1
13,1218,1312,-0.000913709263376733,0.05753199819554674,0.443749941255683,0.23591309040784836,60,4,0,0,1,1,1,1,0,0
14,1312,1406,0.012612460602193754,0.05318967148443644,0.36306304816150736,0.23554687201976776,151,5,1,1,1,0,1,0,0,1
15,1406,1500,0.00410467924728514,0.057392266306510946,0.4269217109483409,0.23640136420726776,209,4,1,0,0,0,1,0,1,1
16,1500,1593,0.0024356308132810617,0.05693831891121884,0.42626218587301556,0.23493652045726776,143,5,1,1,1,1,0,0,0,1
17,1593,1687,-0.0015066591527392256,0.057250716713593996,0.4357580323015647,0.23637694865465164,168,3,0,0,0,1,0,1,0,1
18,1687,1781,-0.0017001537526858614,0.057334607902993544,0.4381454133813989,0.23464356362819672,231,6,1,1,1,0,0,1,1,1
19,1781,1875,0.011664727078552576,0.054221555214137476,0.37884235414524503,0.23972167819738388,189,6,1,0,1,1,1,1,0,1
20,1875,1968,0.004944766676353831,0.0573116179846067,0.4228625478419465,0.23549804091453552,67,3,1,1,0,0,0,0,1,0
21,1968,2062,0.0028442383961791687,0.05704761263815329,0.43330702082058925,0.23618163168430328,91,5,1,1,0,1,1,0,1,0
22,2062,2156,-0.001692101968690119,0.057870937744155526,0.4493015234870112,0.23789062350988388,246,6,0,1,1,0,1,1,1,1
23,2156,2250,-0.009258903589339907,0.05747459912852216,0.42725021956355996,0.22116699814796448,237,6,1,0,1,1,0,1,1,1
24,2250,2343,0.02340731071558611,0.05752399432352714,0.384291954915266,0.23195801675319672,95,6,1,1,1,1,1,0,1,0
25,2343,2437,-0.004830867701031743,0.053009682592559365,0.38490283002870024,0.23723144829273224,77,4,1,0,1,1,0,0,1,0
26,2437,2531,0.00382261879821407,0.05477424781333576,0.39469221296886214,0.2325439378619194,107,5,1,1,0,1,0,1,1,0
27,2531,2625,0.002398811365561956,0.062243912249501356,0.4748101062176253,0.2358398512005806,57,4,1,0,0,1,1,1,0,0
28,2625,2718,0.0054881766135554,0.06038778989640896,0.4413896307299936,0.23662108927965164,123,6,1,1,0,1,1,1,1,0
29,2718,2812,-0.0025439975446367516,0.0526967150607503,0.3681820082857885,0.214111328125,169,4,1,0,0,1,0,1,0,1
30,2812,2906,0.009319418855506847,0.05311409172730798,0.35290983098197914,0.21076660603284836,240,4,0,0,0,0,1,1,1,1
31,2906,3000,0.012805435470889937,0.056277010732261025,0.3869865179336707,0.21928710490465164,254,7,0,1,1,1,1,1,1,1
