feature,model,corr,abs_corr
energy,bit_7,0.38895938368001975,0.38895938368001975
ptp,value,0.3740310023198856,0.3740310023198856
mean,bit_7,-0.3377473735180238,0.3377473735180238
abs_mean,bit_7,0.33218988699053603,0.33218988699053603
energy,value,0.28995199523111675,0.28995199523111675
mean,bit_6,0.2867452119683949,0.2867452119683949
ptp,hw,0.27496149772494466,0.27496149772494466
energy,bit_1,-0.2712152240463609,0.2712152240463609
abs_mean,bit_1,-0.24998480020988512,0.24998480020988512
abs_mean,value,0.24636706280461407,0.24636706280461407
ptp,bit_5,0.24553932760855493,0.24553932760855493
ptp,bit_7,0.2281232988723736,0.2281232988723736
abs_mean,bit_6,-0.22253527614495092,0.22253527614495092
energy,bit_6,-0.218497211608875,0.218497211608875
ptp,bit_6,0.20280559836097103,0.20280559836097103
mean,value,-0.18982165133085782,0.18982165133085782
mean,bit_1,0.1652318036385695,0.1652318036385695
mean,hw,0.14674154195635572,0.14674154195635572
energy,bit_5,0.14443330613682973,0.14443330613682973
ptp,bit_2,0.14304434295457374,0.14304434295457374
mean,bit_4,0.1374780345881731,0.1374780345881731
abs_mean,bit_5,0.13709719861701508,0.13709719861701508
abs_mean,bit_0,-0.12612663367658547,0.12612663367658547
energy,bit_0,-0.12250060302427665,0.12250060302427665
ptp,bit_4,-0.11108428724703034,0.11108428724703034
ptp,bit_3,0.10907188019507653,0.10907188019507653
mean,bit_5,-0.10734923449408736,0.10734923449408736
mean,bit_0,0.10641004413228641,0.10641004413228641
abs_mean,bit_2,-0.09930260856411027,0.09930260856411027
energy,hw,-0.0889397570247875,0.0889397570247875
ptp,bit_1,-0.0833811484519494,0.0833811484519494
energy,bit_4,-0.0768505899209962,0.0768505899209962
abs_mean,hw,-0.06853329175216928,0.06853329175216928
mean,bit_2,0.06831342068755449,0.06831342068755449
mean,bit_3,0.060584892265439956,0.060584892265439956
energy,bit_2,-0.06043100827119938,0.06043100827119938
abs_mean,bit_4,0.04665305876270664,0.04665305876270664
ptp,bit_0,-0.023064757555700713,0.023064757555700713
energy,bit_3,-0.01401117258708849,0.01401117258708849
abs_mean,bit_3,0.00444842369148163,0.00444842369148163
